Topic,Description,Reference
User & Group Management,"Managing user accounts, groups, permissions, and authentication.",[Red Hat User and Group Management](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/configuring_basic_system_settings/assembly_managing-users-and-groups_configuring-basic-system-settings)
File Permissions & Ownership,"Understanding and modifying file permissions using chmod, chown, umask, and ACLs.",[Red Hat File Permissions Guide](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/managing_file_systems/assembly_modifying-file-permissions_managing-file-systems)
Package Management (YUM/DNF),"Installing, updating, and removing packages using YUM and DNF.",[Red Hat DNF Package Management](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/package_management/dnf)
Networking Basics,"Configuring IP addresses, managing network interfaces, using nmcli and ip commands.",[Red Hat Networking Guide](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/configuring_and_managing_networking/)
SSH and Remote Access,Configuring and securing SSH for remote server access.,[Red Hat OpenSSH Configuration](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/performing_a_standard_rhel_9_installation/assembly_configuring-a-network-connection_during-installation)
Disk Partitioning & LVM,"Creating, resizing, and managing partitions and logical volumes.",[Red Hat LVM Guide](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/configuring_basic_system_settings/assembly_working-with-logical-volume-manager-lvm_configuring-basic-system-settings)
"Firewall & Security (Firewalld, SELinux)","Configuring firewalld, understanding SELinux policies.",[Red Hat SELinux Guide](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/using_selinux/)
System Performance Monitoring,"Using top, htop, iostat, and other tools for performance analysis.",[Red Hat System Monitoring](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/monitoring_and_managing_system_performance/)
Bash Scripting & Automation,"Writing shell scripts for automation, scheduling with cron and systemd.",[Red Hat Bash Scripting Guide](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/configuring_basic_system_settings/assembly_using-the-bash-shell_configuring-basic-system-settings)
Backup & Recovery,"Creating backups using tar, rsync, and managing snapshots.",[Red Hat Backup & Recovery](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/performing_a_standard_rhel_9_installation/assembly_configuring-storage_devices_during-installation)
Virtualization & Containers,"Managing KVM, Docker, and Podman containers.",[Red Hat Virtualization Guide](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/performing_a_standard_rhel_9_installation/assembly_installing-rhel-on-virtualization-platforms_during-installation)
Troubleshooting & System Logs,"Debugging system issues using logs, dmesg, journalctl.",[Red Hat System Logs](https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/9/html/configuring_basic_system_settings/assembly_viewing-system-logs_configuring-basic-system-settings)
